Year,RECORD OF THE YEAR,ROY ARTIST,BEST NEW ARTIST,SONG OF THE YEAR,SOY ARTIST
2017,Hello,Adele,Chance The Rapper,Hello,Adele
2016,Uptown Funk,Bruno Mars,Meghan Trainor,Thinking Out Loud,Ed Sheeran
2015,Stay With Me (Darkchild Version),Sam Smith,Sam Smith,Stay With Me (Darkchild Version),Sam Smith
2014,Get Lucky,Daft Punk Pharrell Williams,Macklemore & Ryan Lewis,Royals,Lorde
2013,Somebody That I Used to Know,Gotye Kimbra,Fun,We Are Young,Fun Janelle Monae
2012,Rolling In The Deep,Adele,Bon Iver,Rolling In The Deep,Adele
2011,Need You Now,Lady Antebellum,Esperanza Spalding,Need You Now,Lady Antebellum
2010,Use Somebody,Kings of Leon,Zac Brown Band,Single Ladies (Put A Ring On It),Beyonce
2009,Please Read the Letter,Robert Plant Alison Krauss,Adele,Viva la Vida,Coldplay
2008,Rehab,Amy Winehouse,Amy Winehouse,Rehab,Amy Winehouse